Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:06:30 EST 2017
Nick Lewis submitted on Mon, 20 Nov 2017, at 09:23 AM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.241 seconds, 89344 max kilobytes
CONCLUSION (where-100): normal termination;   0.243 seconds, 96208 max kilobytes
CONCLUSION (where-101): normal termination;   0.242 seconds, 100592 max kilobytes
CONCLUSION (where-102): normal termination;   0.254 seconds, 100448 max kilobytes
CONCLUSION (where-103): normal termination;   0.249 seconds, 100624 max kilobytes
CONCLUSION (where-104): normal termination;   0.244 seconds, 99168 max kilobytes
CONCLUSION (where-105): normal termination;   0.248 seconds, 100688 max kilobytes
CONCLUSION (where-106): normal termination;   0.245 seconds, 96032 max kilobytes
CONCLUSION (where-107): normal termination;   0.239 seconds, 101328 max kilobytes
CONCLUSION (where-108): normal termination;   0.240 seconds, 95584 max kilobytes
CONCLUSION (where-109): normal termination;   0.244 seconds, 96032 max kilobytes
CONCLUSION (where-110): normal termination;   0.243 seconds, 101104 max kilobytes
CONCLUSION (where-111): normal termination;   0.241 seconds, 100560 max kilobytes
CONCLUSION (where-112): normal termination;   0.242 seconds, 89312 max kilobytes
CONCLUSION (where-113): normal termination;   0.243 seconds, 101056 max kilobytes
CONCLUSION (where-114): normal termination;   0.242 seconds, 93456 max kilobytes
CONCLUSION (where-115): normal termination;   0.240 seconds, 99024 max kilobytes
CONCLUSION (where-116): normal termination;   0.241 seconds, 95824 max kilobytes
CONCLUSION (where-117): normal termination;   0.243 seconds, 96352 max kilobytes
CONCLUSION (where-118): normal termination;   0.247 seconds, 89488 max kilobytes
CONCLUSION (where-119): normal termination;   0.277 seconds, 110624 max kilobytes
CONCLUSION (where-120): normal termination;   0.289 seconds, 105808 max kilobytes
CONCLUSION (where-200): normal termination;   0.396 seconds, 119616 max kilobytes
CONCLUSION (where-201): normal termination;   0.414 seconds, 101600 max kilobytes
CONCLUSION (where-202): normal termination;   0.412 seconds, 112096 max kilobytes
CONCLUSION (where-203): normal termination;   0.404 seconds, 107248 max kilobytes
CONCLUSION (where-204): normal termination;   0.405 seconds, 112464 max kilobytes
CONCLUSION (where-205): normal termination;   0.410 seconds, 111344 max kilobytes
CONCLUSION (where-206): normal termination;   0.413 seconds, 116880 max kilobytes
CONCLUSION (where-207): normal termination;   0.418 seconds, 119840 max kilobytes
CONCLUSION (where-208): normal termination;   0.414 seconds, 120768 max kilobytes
CONCLUSION (where-209): normal termination;   0.427 seconds, 120592 max kilobytes
CONCLUSION (where-210): normal termination;   0.485 seconds, 123952 max kilobytes
CONCLUSION (where-300): normal termination;   0.489 seconds, 128256 max kilobytes
CONCLUSION (where-301): normal termination;   0.493 seconds, 128240 max kilobytes
CONCLUSION (where-302): normal termination;   0.484 seconds, 131136 max kilobytes
CONCLUSION (where-303): normal termination;   0.495 seconds, 119936 max kilobytes
CONCLUSION (where-304): normal termination;   0.497 seconds, 129744 max kilobytes
CONCLUSION (where-305): normal termination;   0.492 seconds, 126352 max kilobytes
CONCLUSION (where-306): normal termination;   0.489 seconds, 129936 max kilobytes
CONCLUSION (where-307): normal termination;   0.489 seconds, 131088 max kilobytes
CONCLUSION (where-308): normal termination;   0.494 seconds, 126704 max kilobytes
CONCLUSION (where-309): normal termination;   0.510 seconds, 129104 max kilobytes
CONCLUSION (where-310): normal termination;   0.572 seconds, 145264 max kilobytes
where-000     /where-000          : [32mPASS[0m  [Options: tokenize, ignore case]
where-100     /where-100          : [32mPASS[0m  [Options: tokenize, ignore case]
where-101     /where-101          : [32mPASS[0m  [Options: tokenize, ignore case]
where-102     /where-102          : [32mPASS[0m  [Options: tokenize, ignore case]
