Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:07:34 EST 2017
Wilfred Manrique submitted on Sat, 18 Nov 2017, at 09:58 PM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.246 seconds, 97392 max kilobytes
CONCLUSION (where-100): normal termination;   0.249 seconds, 100480 max kilobytes
CONCLUSION (where-101): normal termination;   0.256 seconds, 101312 max kilobytes
CONCLUSION (where-102): normal termination;   0.249 seconds, 100720 max kilobytes
CONCLUSION (where-103): normal termination;   0.242 seconds, 101104 max kilobytes
CONCLUSION (where-104): normal termination;   0.247 seconds, 96128 max kilobytes
CONCLUSION (where-105): normal termination;   0.250 seconds, 96096 max kilobytes
CONCLUSION (where-106): normal termination;   0.247 seconds, 96368 max kilobytes
CONCLUSION (where-107): normal termination;   0.257 seconds, 99552 max kilobytes
CONCLUSION (where-108): normal termination;   0.248 seconds, 100944 max kilobytes
CONCLUSION (where-109): normal termination;   0.245 seconds, 96448 max kilobytes
CONCLUSION (where-110): normal termination;   0.248 seconds, 89760 max kilobytes
CONCLUSION (where-111): normal termination;   0.249 seconds, 98624 max kilobytes
CONCLUSION (where-112): normal termination;   0.251 seconds, 100800 max kilobytes
CONCLUSION (where-113): normal termination;   0.250 seconds, 98704 max kilobytes
CONCLUSION (where-114): normal termination;   0.249 seconds, 108944 max kilobytes
CONCLUSION (where-115): normal termination;   0.254 seconds, 100624 max kilobytes
CONCLUSION (where-116): normal termination;   0.256 seconds, 100544 max kilobytes
CONCLUSION (where-117): normal termination;   0.254 seconds, 100912 max kilobytes
CONCLUSION (where-118): normal termination;   0.256 seconds, 96144 max kilobytes
CONCLUSION (where-119): normal termination;   0.324 seconds, 129792 max kilobytes
CONCLUSION (where-120): normal termination;   0.335 seconds, 143072 max kilobytes
CONCLUSION (where-200): normal termination;   0.404 seconds, 109456 max kilobytes
CONCLUSION (where-201): normal termination;   0.407 seconds, 112496 max kilobytes
CONCLUSION (where-202): normal termination;   0.438 seconds, 120336 max kilobytes
CONCLUSION (where-203): normal termination;   0.434 seconds, 120800 max kilobytes
CONCLUSION (where-204): normal termination;   0.453 seconds, 119536 max kilobytes
CONCLUSION (where-205): normal termination;   0.483 seconds, 119696 max kilobytes
CONCLUSION (where-206): normal termination;   0.579 seconds, 131424 max kilobytes
CONCLUSION (where-207): normal termination;   0.574 seconds, 151376 max kilobytes
CONCLUSION (where-208): normal termination;   0.539 seconds, 132000 max kilobytes
CONCLUSION (where-209): normal termination;   0.558 seconds, 196448 max kilobytes
CONCLUSION (where-210): normal termination;   0.936 seconds, 394080 max kilobytes
CONCLUSION (where-300): normal termination;   0.386 seconds, 119776 max kilobytes
CONCLUSION (where-301): normal termination;   0.490 seconds, 130016 max kilobytes
CONCLUSION (where-302): normal termination;   0.510 seconds, 118464 max kilobytes
CONCLUSION (where-303): normal termination;   0.541 seconds, 124320 max kilobytes
CONCLUSION (where-304): normal termination;   0.576 seconds, 134816 max kilobytes
CONCLUSION (where-305): normal termination;   0.667 seconds, 145584 max kilobytes
CONCLUSION (where-306): normal termination;   0.720 seconds, 175056 max kilobytes
CONCLUSION (where-307): normal termination;   0.791 seconds, 259744 max kilobytes
CONCLUSION (where-308): normal termination;   0.630 seconds, 156672 max kilobytes
CONCLUSION (where-309): normal termination;   0.880 seconds, 264096 max kilobytes
CONCLUSION (where-310): normal termination;   2.208 seconds, 1179664 max kilobytes
where-000     /where-000          : [32mPASS[0m  [Options: tokenize, ignore case]
where-100     /where-100          : [32mPASS[0m  [Options: tokenize, ignore case]
where-101     /where-101          : [32mPASS[0m  [Options: tokenize, ignore case]
where-102     /where-102          : [32mPASS[0m  [Options: tokenize, ignore case]
where-103     /where-103          : [32mPASS[0m  [Options: tokenize, ignore case]
where-104     /where-104          : [32mPASS[0m  [Options: tokenize, ignore case]
where-105     /where-105          : [32mPASS[0m  [Options: tokenize, ignore case]
where-106     /where-106          : [32mPASS[0m  [Options: tokenize, ignore case]
where-107     /where-107          : [32mPASS[0m  [Options: tokenize, ignore case]
where-108     /where-108          : [32mPASS[0m  [Options: tokenize, ignore case]
where-109     /where-109          : [32mPASS[0m  [Options: tokenize, ignore case]
where-110     /where-110          : [32mPASS[0m  [Options: tokenize, ignore case]
where-111     /where-111          : [32mPASS[0m  [Options: tokenize, ignore case]
where-112     /where-112          : [32mPASS[0m  [Options: tokenize, ignore case]
where-113     /where-113          : [32mPASS[0m  [Options: tokenize, ignore case]
where-114     /where-114          : [32mPASS[0m  [Options: tokenize, ignore case]
where-115     /where-115          : [32mPASS[0m  [Options: tokenize, ignore case]
where-116     /where-116          : [32mPASS[0m  [Options: tokenize, ignore case]
where-117     /where-117          : [32mPASS[0m  [Options: tokenize, ignore case]
where-118     /where-118          : [32mPASS[0m  [Options: tokenize, ignore case]
where-119     /where-119          : [32mPASS[0m  [Options: tokenize, ignore case]
where-120     /where-120          : [32mPASS[0m  [Options: tokenize, ignore case]
where-200     /where-200          : [32mPASS[0m  [Options: tokenize, ignore case]
where-201     /where-201          : [32mPASS[0m  [Options: tokenize, ignore case]
where-202     /where-202          : [32mPASS[0m  [Options: tokenize, ignore case]
where-203     /where-203          : [32mPASS[0m  [Options: tokenize, ignore case]
