Fall 2017, CSE1002
Extra Assignment: Where is Watson?
run.csh; Wed Nov 22 19:11:19 EST 2017
Chenlei Zhu submitted on Mon, 20 Nov 2017, at 09:07 PM EST
Problem where.  Jar of test cases: /home/cse1002-stansifer/fall2017/ex_where/testing/testcases-where.jar

Run Summary
CONCLUSION (where-000): normal termination;   0.239 seconds, 96192 max kilobytes
CONCLUSION (where-100): normal termination;   0.243 seconds, 101072 max kilobytes
CONCLUSION (where-101): normal termination;   0.239 seconds, 100960 max kilobytes
CONCLUSION (where-102): normal termination;   0.241 seconds, 100800 max kilobytes
CONCLUSION (where-103): normal termination;   0.244 seconds, 100272 max kilobytes
CONCLUSION (where-104): normal termination;   0.240 seconds, 95424 max kilobytes
CONCLUSION (where-105): normal termination;   0.239 seconds, 96800 max kilobytes
CONCLUSION (where-106): normal termination;   0.239 seconds, 96096 max kilobytes
CONCLUSION (where-107): normal termination;   0.241 seconds, 96800 max kilobytes
CONCLUSION (where-108): normal termination;   0.242 seconds, 100960 max kilobytes
CONCLUSION (where-109): normal termination;   0.237 seconds, 101056 max kilobytes
CONCLUSION (where-110): normal termination;   0.240 seconds, 101008 max kilobytes
CONCLUSION (where-111): normal termination;   0.241 seconds, 100960 max kilobytes
CONCLUSION (where-112): normal termination;   0.241 seconds, 95872 max kilobytes
CONCLUSION (where-113): normal termination;   0.244 seconds, 99424 max kilobytes
CONCLUSION (where-114): normal termination;   0.240 seconds, 95968 max kilobytes
CONCLUSION (where-115): normal termination;   0.235 seconds, 95920 max kilobytes
CONCLUSION (where-116): normal termination;   0.237 seconds, 96080 max kilobytes
CONCLUSION (where-117): normal termination;   0.240 seconds, 100960 max kilobytes
CONCLUSION (where-118): normal termination;   0.244 seconds, 100688 max kilobytes
CONCLUSION (where-119): normal termination;   0.242 seconds, 101344 max kilobytes
CONCLUSION (where-120): normal termination;   0.243 seconds, 101488 max kilobytes
CONCLUSION (where-200): normal termination;   0.411 seconds, 111888 max kilobytes
CONCLUSION (where-201): normal termination;   0.368 seconds, 105088 max kilobytes
CONCLUSION (where-202): normal termination;   0.391 seconds, 111664 max kilobytes
CONCLUSION (where-203): normal termination;   0.392 seconds, 112640 max kilobytes
CONCLUSION (where-204): normal termination;   0.383 seconds, 112736 max kilobytes
CONCLUSION (where-205): normal termination;   0.400 seconds, 110480 max kilobytes
CONCLUSION (where-206): normal termination;   0.391 seconds, 110416 max kilobytes
CONCLUSION (where-207): normal termination;   0.389 seconds, 111008 max kilobytes
CONCLUSION (where-208): normal termination;   0.395 seconds, 112224 max kilobytes
CONCLUSION (where-209): normal termination;   0.362 seconds, 94768 max kilobytes
CONCLUSION (where-210): normal termination;   0.401 seconds, 111872 max kilobytes
CONCLUSION (where-300): normal termination;   0.586 seconds, 120448 max kilobytes
CONCLUSION (where-301): normal termination;   0.598 seconds, 120672 max kilobytes
CONCLUSION (where-302): normal termination;   0.592 seconds, 130704 max kilobytes
CONCLUSION (where-303): normal termination;   0.571 seconds, 130928 max kilobytes
CONCLUSION (where-304): normal termination;   0.496 seconds, 131936 max kilobytes
